event_index,id,text,semantic_rep,file_name,class,type,content_desc,hint,parent_text,sibling_text,fillable_neighbor,neighbors,label,activity,atm_neighbor
0,com.mint:id/userId_TV,Email,Text,,com.intuit.spc.authorization.custom.widget.TypeFacedTextView,label,,,,,,,wrong,com.mint/com.mint.core.overview.IUSActivity,
0,com.mint:id/signin_password_TV,Password,Text,,com.intuit.spc.authorization.custom.widget.TypeFacedTextView,label,,,,,,,wrong,com.mint/com.mint.core.overview.IUSActivity,
0,com.mint:id/signIn_Button,Sign In,login,,com.intuit.spc.authorization.custom.widget.TypeFacedButton,clickable,,,,,,,wrong,com.mint/com.mint.core.overview.IUSActivity,
0,com.mint:id/legal_privacy_tv,"By tapping Sign in, you agree to our License Agreement and Privacy Statement",Text Button,,com.intuit.spc.authorization.custom.widget.TypeFacedTextView,clickable,,,,,,,wrong,com.mint/com.mint.core.overview.IUSActivity,
0,com.mint:id/signUp_Button,Sign Up for Free,Text Button,,com.intuit.spc.authorization.custom.widget.TypeFacedButton,clickable,,,,,,,correct,com.mint/com.mint.core.overview.IUSActivity,
0,com.mint:id/MTL_link_TV,Mint bill pay services provided by Intuit Payments Inc. under applicable licenses.,Text Button,,com.intuit.spc.authorization.custom.widget.TypeFacedTextView,clickable,,,,,,,wrong,com.mint/com.mint.core.overview.IUSActivity,
1,com.mint:id/cardTitle_TV,Create Account,Text,,com.intuit.spc.authorization.custom.widget.TypeFacedTextView,label,,,,,,,wrong,com.mint/com.mint.core.overview.IUSActivity,
1,com.mint:id/email_TV,Email,Text,,com.intuit.spc.authorization.custom.widget.TypeFacedTextView,label,,,,,,,wrong,com.mint/com.mint.core.overview.IUSActivity,
1,com.mint:id/email_edit_text,,Input,,com.intuit.spc.authorization.custom.widget.TypeFacedEditText,clickable,,,,,,,correct,com.mint/com.mint.core.overview.IUSActivity,
1,com.mint:id/signup_password_TV,Password,Text,,com.intuit.spc.authorization.custom.widget.TypeFacedTextView,label,,,,,,,wrong,com.mint/com.mint.core.overview.IUSActivity,
1,com.mint:id/country_TV,Country,Text,,com.intuit.spc.authorization.custom.widget.TypeFacedTextView,label,,,,,,,wrong,com.mint/com.mint.core.overview.IUSActivity,
1,com.mint:id/postal_TV,Zip Code,Text,,com.intuit.spc.authorization.custom.widget.TypeFacedTextView,label,,,,,,,wrong,com.mint/com.mint.core.overview.IUSActivity,
1,com.mint:id/phone_TV,Phone,Text,,com.intuit.spc.authorization.custom.widget.TypeFacedTextView,label,,,,,,,wrong,com.mint/com.mint.core.overview.IUSActivity,
1,com.mint:id/phone_message,"Standard calling, messaging, or data rates may apply.",Text,,com.intuit.spc.authorization.custom.widget.TypeFacedTextView,label,,,,,,,wrong,com.mint/com.mint.core.overview.IUSActivity,
1,com.mint:id/signUp_Button,Sign Up For Free,Text Button,,com.intuit.spc.authorization.custom.widget.TypeFacedButton,clickable,,,,,,,wrong,com.mint/com.mint.core.overview.IUSActivity,
1,com.mint:id/legal_privacy_tv,"By tapping Sign up, you agree to our 
License Agreement and Privacy Statement",Text Button,,com.intuit.spc.authorization.custom.widget.TypeFacedTextView,clickable,,,,,,,wrong,com.mint/com.mint.core.overview.IUSActivity,
