event_index,id,text,semantic_rep,file_name,class,type,content_desc,hint,parent_text,sibling_text,fillable_neighbor,neighbors,label,activity,atm_neighbor
0,,Fast Budget,Text,,android.widget.TextView,label,,,,,,,wrong,com.blodhgard.easybudget/com.blodhgard.easybudget.LoginActivity,
0,,Basic settings,Text,,android.widget.TextView,label,,,,,,,wrong,com.blodhgard.easybudget/com.blodhgard.easybudget.LoginActivity,
0,,Language,Text,,android.widget.TextView,label,,,,,,,wrong,com.blodhgard.easybudget/com.blodhgard.easybudget.LoginActivity,
0,com.blodhgard.easybudget:id/textview_text,System,Text,,android.widget.TextView,label,,,,,,,correct,com.blodhgard.easybudget/com.blodhgard.easybudget.LoginActivity,
0,,Currency,Text,,android.widget.TextView,label,,,,,,,wrong,com.blodhgard.easybudget/com.blodhgard.easybudget.LoginActivity,
0,com.blodhgard.easybudget:id/textview_initial_settings_currency,USD - $,Text Button,,android.widget.TextView,clickable,,,,,,,wrong,com.blodhgard.easybudget/com.blodhgard.easybudget.LoginActivity,
0,,Currency position:,Text,,android.widget.TextView,label,,,,,,,wrong,com.blodhgard.easybudget/com.blodhgard.easybudget.LoginActivity,
0,,Reminder,Text,,android.widget.TextView,label,,,,,,,wrong,com.blodhgard.easybudget/com.blodhgard.easybudget.LoginActivity,
0,,Remind me of adding transactions?,Text,,android.widget.TextView,label,,,,,,,wrong,com.blodhgard.easybudget/com.blodhgard.easybudget.LoginActivity,
0,com.blodhgard.easybudget:id/togglebutton_initial_settings_reminder,Yes,agree,,android.widget.ToggleButton,clickable,,,,,,,wrong,com.blodhgard.easybudget/com.blodhgard.easybudget.LoginActivity,
0,com.blodhgard.easybudget:id/textview_initial_settings_reminder_hour_text,Reminder time:,Text,,android.widget.TextView,label,,,,,,,wrong,com.blodhgard.easybudget/com.blodhgard.easybudget.LoginActivity,
0,com.blodhgard.easybudget:id/textview_initial_settings_reminder_time_field,9:00 PM,Text Button,,android.widget.TextView,clickable,,,,,,,wrong,com.blodhgard.easybudget/com.blodhgard.easybudget.LoginActivity,
0,com.blodhgard.easybudget:id/button_initial_settings_save,OK,ok,,android.widget.Button,clickable,,,,,,,wrong,com.blodhgard.easybudget/com.blodhgard.easybudget.LoginActivity,
1,com.blodhgard.easybudget:id/textview_text,System,Text,,android.widget.TextView,label,,,,,,,wrong,com.blodhgard.easybudget/com.blodhgard.easybudget.LoginActivity,
1,com.blodhgard.easybudget:id/textview_text,English,Text,,android.widget.TextView,label,,,,,,,correct,com.blodhgard.easybudget/com.blodhgard.easybudget.LoginActivity,
1,com.blodhgard.easybudget:id/textview_text,Español,Text,,android.widget.TextView,label,,,,,,,wrong,com.blodhgard.easybudget/com.blodhgard.easybudget.LoginActivity,
