event_index,id,text,semantic_rep,file_name,class,type,content_desc,hint,parent_text,sibling_text,fillable_neighbor,neighbors,label,activity,atm_neighbor
0,,,arrow_backward,,android.support.v7.widget.AppCompatImageButton,clickable,,,,,,,correct,com.everydollar.android/com.everydollar.android.activities.form.signin.SignInFormActivity,
0,com.everydollar.android:id/toolbar_title,Sign In,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.everydollar.android/com.everydollar.android.activities.form.signin.SignInFormActivity,
0,com.everydollar.android:id/forgot_password,I forgot my password,Text Button,,android.support.v7.widget.AppCompatButton,clickable,,,,,,,wrong,com.everydollar.android/com.everydollar.android.activities.form.signin.SignInFormActivity,
1,com.everydollar.android:id/sign_up,Sign Up (It’s Free!),Text Button,,android.support.v7.widget.AppCompatButton,clickable,,,,,,,correct,com.everydollar.android/com.everydollar.android.activities.SplashActivity,
1,com.everydollar.android:id/sign_in,Have an account? Sign In,Text Button,,android.support.v7.widget.AppCompatButton,clickable,,,,,,,wrong,com.everydollar.android/com.everydollar.android.activities.SplashActivity,
2,com.everydollar.android:id/password,Crowd3116,Input,,android.support.v7.widget.AppCompatEditText,clickable,,,,,,,correct,com.everydollar.android/com.everydollar.android.activities.form.signup.CreatePasswordFormActivity,
2,com.everydollar.android:id/show_hide_password,Show,show,,android.support.v7.widget.AppCompatButton,clickable,,,,,,,wrong,com.everydollar.android/com.everydollar.android.activities.form.signup.CreatePasswordFormActivity,
2,com.everydollar.android:id/caption,You are getting closer… keep going!,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.everydollar.android/com.everydollar.android.activities.form.signup.CreatePasswordFormActivity,
2,com.everydollar.android:id/capital_letter,Capital Letter,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.everydollar.android/com.everydollar.android.activities.form.signup.CreatePasswordFormActivity,
2,com.everydollar.android:id/done_capital_letter,Capital Letter,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.everydollar.android/com.everydollar.android.activities.form.signup.CreatePasswordFormActivity,
2,com.everydollar.android:id/eight_plus_characters,8+ Characters,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.everydollar.android/com.everydollar.android.activities.form.signup.CreatePasswordFormActivity,
2,com.everydollar.android:id/done_eight_plus_characters,8+ Characters,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.everydollar.android/com.everydollar.android.activities.form.signup.CreatePasswordFormActivity,
2,com.everydollar.android:id/special_character,Special Character,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.everydollar.android/com.everydollar.android.activities.form.signup.CreatePasswordFormActivity,
2,com.everydollar.android:id/number,Number,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.everydollar.android/com.everydollar.android.activities.form.signup.CreatePasswordFormActivity,
2,com.everydollar.android:id/done_number,Number,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.everydollar.android/com.everydollar.android.activities.form.signup.CreatePasswordFormActivity,
