event_index,id,text,semantic_rep,file_name,class,type,content_desc,hint,parent_text,sibling_text,fillable_neighbor,neighbors,label,activity,atm_neighbor
0,com.droid4you.application.wallet:id/skip,Skip,skip,,android.support.v7.widget.AppCompatButton,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.component.onboarding.OnboardingActivity,
0,com.droid4you.application.wallet:id/next,,Image,,android.support.v7.widget.AppCompatImageButton,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.component.onboarding.OnboardingActivity,
0,com.droid4you.application.wallet:id/done,Done,Image,,android.support.v7.widget.AppCompatButton,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.component.onboarding.OnboardingActivity,
0,,,Image,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.component.onboarding.OnboardingActivity,
0,com.droid4you.application.wallet:id/textView4,Hello!,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.component.onboarding.OnboardingActivity,
0,com.droid4you.application.wallet:id/textView3,Get your Budget under control with Wallet.,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.component.onboarding.OnboardingActivity,
0,com.droid4you.application.wallet:id/button_start,Discover Wallet,Text Button,,android.support.v7.widget.AppCompatButton,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.component.onboarding.OnboardingActivity,
0,com.droid4you.application.wallet:id/button_skip,Skip the show >,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,correct,com.droid4you.application.wallet/com.droid4you.application.wallet.component.onboarding.OnboardingActivity,
1,,,videocam,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.v3.ui.LoginActivity,
1,,Create Secure Account,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.v3.ui.LoginActivity,
1,,Use your favourite network or email to enter. We are very serious about safety and privacy.,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.v3.ui.LoginActivity,
1,com.droid4you.application.wallet:id/check_agree,,Input,,android.support.v7.widget.AppCompatCheckBox,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.v3.ui.LoginActivity,
1,com.droid4you.application.wallet:id/text_terms,I am at least 13 years old and I agree with Terms & Conditions.,Text Button,,android.support.v7.widget.AppCompatTextView,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.v3.ui.LoginActivity,
1,com.droid4you.application.wallet:id/button_sign_up_facebook,Continue with Facebook,Text Button,,android.support.v7.widget.AppCompatTextView,clickable,,,,,,,correct,com.droid4you.application.wallet/com.droid4you.application.wallet.v3.ui.LoginActivity,
1,com.droid4you.application.wallet:id/login,Already have an account? Log in,Text Button,,android.support.v7.widget.AppCompatTextView,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.v3.ui.LoginActivity,
2,,,facebook,,com.facebook.fbui.widget.glyph.GlyphView,label,,,,,,,wrong,com.facebook.katana/com.facebook.gdp.LightWeightProxyAuthActivity,
2,com.facebook.katana:id/gdp_profile_picture,,avatar,,com.facebook.drawee.fbpipeline.FbDraweeView,label,,,,,,,wrong,com.facebook.katana/com.facebook.gdp.LightWeightProxyAuthActivity,
2,com.facebook.katana:id/gdp_dialog_user_name,Raphael Tan,Text,,com.facebook.resources.ui.FbTextView,label,,,,,,,wrong,com.facebook.katana/com.facebook.gdp.LightWeightProxyAuthActivity,
2,com.facebook.katana:id/gdp_dialog_permissions_text,"Wallet will have access to name, email and other public info. Edit the info you provide.",Text Button,,com.facebook.resources.ui.FbTextView,clickable,,,,,,,wrong,com.facebook.katana/com.facebook.gdp.LightWeightProxyAuthActivity,
2,com.facebook.katana:id/gdp_dialog_continue_button,Continue as Raphael,Text Button,,com.facebook.resources.ui.FbButton,clickable,,,,,,,correct,com.facebook.katana/com.facebook.gdp.LightWeightProxyAuthActivity,
3,com.droid4you.application.wallet:id/toolbar,,Toolbar,,android.support.v7.widget.Toolbar,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.v3.ui.PostInitReplicationActivity,
3,,Select base currency,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.v3.ui.PostInitReplicationActivity,
3,,Your base currency will be used to calculate statistics and total balance.,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.v3.ui.PostInitReplicationActivity,
3,,Once you set base currency it cannot be changed anymore.,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.v3.ui.PostInitReplicationActivity,
3,com.droid4you.application.wallet:id/button_select_currency,USD - United States Dollar,Text Button,,android.support.v7.widget.AppCompatButton,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.v3.ui.PostInitReplicationActivity,
3,com.droid4you.application.wallet:id/button_confirm_currency,Select currency,Text Button,,android.support.v7.widget.AppCompatButton,clickable,,,,,,,correct,com.droid4you.application.wallet/com.droid4you.application.wallet.v3.ui.PostInitReplicationActivity,
4,com.droid4you.application.wallet:id/toolbar,,Toolbar,,android.support.v7.widget.Toolbar,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.v3.ui.PostInitReplicationActivity,
4,,Select base currency,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.v3.ui.PostInitReplicationActivity,
4,com.droid4you.application.wallet:id/button_confirm_currency,Select currency,Text Button,,android.support.v7.widget.AppCompatButton,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.v3.ui.PostInitReplicationActivity,
4,,Wallet accounts,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.v3.ui.PostInitReplicationActivity,
4,,"In Wallet app you can create accounts that represent your cash, your bank account or your credit card.",Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.v3.ui.PostInitReplicationActivity,
4,com.droid4you.application.wallet:id/textView7,Default cash account was already set for you with empty initial balance.,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.v3.ui.PostInitReplicationActivity,
4,com.droid4you.application.wallet:id/button_confirm_account,Let's start,Text Button,,android.support.v7.widget.AppCompatButton,clickable,,,,,,,correct,com.droid4you.application.wallet/com.droid4you.application.wallet.v3.ui.PostInitReplicationActivity,
5,,,menu,,android.support.v7.widget.AppCompatImageButton,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
5,,Wallet,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
5,com.droid4you.application.wallet:id/menu_settings,,Image,,android.support.v7.view.menu.ActionMenuItemView,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
5,,List of accounts,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
5,,Balance,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
5,,,Image,,android.support.v7.widget.ActionMenuPresenter$OverflowMenuButton,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
5,,,Image,,android.support.v7.widget.ActionMenuPresenter$OverflowMenuButton,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
5,,"Wow, your dashboard!",Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
5,,"We've added some basic widgets for you. You can EDIT, MOVE or DELETE them. Click the widget's menu in the corner and delete me! Try it.",Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
5,com.droid4you.application.wallet:id/image_arrow,,Image,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
5,,Balance chart,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
5,,,Image,,android.support.v7.widget.ActionMenuPresenter$OverflowMenuButton,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
5,,Your dashboard,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
5,,…is empty. Click on ⊕ and start adding expenses and incomes.,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
5,com.droid4you.application.wallet:id/image_arrow,,Image,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
5,com.droid4you.application.wallet:id/fab_toggle_button,,add,,com.flask.floatingactionmenu.FloatingActionToggleButton,clickable,,,,,,,correct,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
6,,,menu,,android.support.v7.widget.AppCompatImageButton,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
6,,Wallet,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
6,com.droid4you.application.wallet:id/menu_settings,,playlist,,android.support.v7.view.menu.ActionMenuItemView,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
6,,List of accounts,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
6,com.droid4you.application.wallet:id/title,Cash,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
6,com.droid4you.application.wallet:id/amount,$0.00 ,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
6,,Balance,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
6,,,Image,,android.support.v7.widget.ActionMenuPresenter$OverflowMenuButton,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
6,,,Image,,android.support.v7.widget.ActionMenuPresenter$OverflowMenuButton,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
6,,"Wow, your dashboard!",Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
6,,"We've added some basic widgets for you. You can EDIT, MOVE or DELETE them. Click the widget's menu in the corner and delete me! Try it.",Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
6,com.droid4you.application.wallet:id/image_arrow,,copy,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
6,,Balance chart,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
6,,,Image,,android.support.v7.widget.ActionMenuPresenter$OverflowMenuButton,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
6,,Your dashboard,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
6,,…is empty. Click on ⊕ and start adding expenses and incomes.,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
6,com.droid4you.application.wallet:id/image_arrow,,Image,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
6,com.droid4you.application.wallet:id/faba,,edit,,com.flask.floatingactionmenu.FloatingActionButton,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
6,com.droid4you.application.wallet:id/faba,,help,,com.flask.floatingactionmenu.FloatingActionButton,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
6,com.droid4you.application.wallet:id/fab_toggle_button,,edit,,com.flask.floatingactionmenu.FloatingActionToggleButton,clickable,,,,,,,correct,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
6,,Adjust balance,Text Button,,com.flask.floatingactionmenu.AutoVisibilityTextView,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
6,,Create first template,Text Button,,com.flask.floatingactionmenu.AutoVisibilityTextView,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
6,,New record,Text Button,,com.flask.floatingactionmenu.AutoVisibilityTextView,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.activity.MainActivity,
7,,,Image,,android.support.v7.widget.AppCompatImageButton,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.v3.ui.NewRecordActivity,
7,,,close,,android.support.v7.widget.AppCompatImageButton,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.v3.ui.NewRecordActivity,
7,com.droid4you.application.wallet:id/menu_save,,check,,android.support.v7.view.menu.ActionMenuItemView,clickable,,,,,,,correct,com.droid4you.application.wallet/com.droid4you.application.wallet.v3.ui.NewRecordActivity,
7,com.droid4you.application.wallet:id/mstb_button_view,Income,Text Button,,android.support.v7.widget.AppCompatButton,clickable,,,,,,,wrong,com.droid4you.application.wallet/com.droid4you.application.wallet.v3.ui.NewRecordActivity,
