event_index,id,text,semantic_rep,file_name,class,type,content_desc,hint,parent_text,sibling_text,fillable_neighbor,neighbors,label,activity,atm_neighbor
0,,Language,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
0,com.cookware.worldcusinerecipes:id/action_search,,search,,android.support.v7.view.menu.ActionMenuItemView,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
0,com.cookware.worldcusinerecipes:id/radio0,English     ( Recommended ),Radio Button,,android.support.v7.widget.AppCompatRadioButton,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
0,com.cookware.worldcusinerecipes:id/radio1,العربية,Radio Button,,android.support.v7.widget.AppCompatRadioButton,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
0,com.cookware.worldcusinerecipes:id/radio2,中文,Radio Button,,android.support.v7.widget.AppCompatRadioButton,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
0,com.cookware.worldcusinerecipes:id/radio3,Italiano,Radio Button,,android.support.v7.widget.AppCompatRadioButton,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
0,com.cookware.worldcusinerecipes:id/radio4,Español,Radio Button,,android.support.v7.widget.AppCompatRadioButton,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
0,com.cookware.worldcusinerecipes:id/radio5,Filipino,Radio Button,,android.support.v7.widget.AppCompatRadioButton,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
0,com.cookware.worldcusinerecipes:id/radio6,Română,Radio Button,,android.support.v7.widget.AppCompatRadioButton,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
0,com.cookware.worldcusinerecipes:id/radio7,Dutch,Radio Button,,android.support.v7.widget.AppCompatRadioButton,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
0,com.cookware.worldcusinerecipes:id/radio8,Français,Radio Button,,android.support.v7.widget.AppCompatRadioButton,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
0,com.cookware.worldcusinerecipes:id/radio9,한국어,Radio Button,,android.support.v7.widget.AppCompatRadioButton,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
0,com.cookware.worldcusinerecipes:id/radio10,Swedish,Radio Button,,android.support.v7.widget.AppCompatRadioButton,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
0,com.cookware.worldcusinerecipes:id/radio11,Danish,Radio Button,,android.support.v7.widget.AppCompatRadioButton,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
0,com.cookware.worldcusinerecipes:id/radio12,Latin,Radio Button,,android.support.v7.widget.AppCompatRadioButton,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
0,com.cookware.worldcusinerecipes:id/radio13,日本語,Radio Button,,android.support.v7.widget.AppCompatRadioButton,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
0,com.cookware.worldcusinerecipes:id/radio14,हिंदी,Radio Button,,android.support.v7.widget.AppCompatRadioButton,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
0,com.cookware.worldcusinerecipes:id/button1,Done,finish,,android.support.v7.widget.AppCompatButton,clickable,,,,,,,correct,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
0,com.cookware.worldcusinerecipes:id/rectext,Note : For a better user experience and app quality we recommend you to choose English language. Our research team is working hard to improve the translation quality of other languages.,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
1,,,Web View,,com.google.android.gms.ads.internal.webview.o,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.google.android.gms.ads.AdActivity,
1,,,close,,android.widget.ImageButton,clickable,,,,,,,correct,com.cookware.worldcusinerecipes/com.google.android.gms.ads.AdActivity,
2,,Green Mango and Pawpaw Smoothie,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
2,com.cookware.worldcusinerecipes:id/action_search,,search,,android.support.v7.view.menu.ActionMenuItemView,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
2,,,arrow_backward,,android.support.v7.widget.AppCompatImageButton,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
2,com.cookware.worldcusinerecipes:id/imageView,,Image,,kr.pe.burt.android.lib.androidgradientimageview.AndroidGradientImageView,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
2,com.cookware.worldcusinerecipes:id/textView1,Hand Picked Recipes,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
2,com.cookware.worldcusinerecipes:id/topbutton1,breakfast,breakfast,,android.support.v7.widget.AppCompatButton,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
2,com.cookware.worldcusinerecipes:id/topbutton2,Appetizers,appetizers,,android.support.v7.widget.AppCompatButton,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
2,com.cookware.worldcusinerecipes:id/topbutton3,Main Dishes,side dishes,,android.support.v7.widget.AppCompatButton,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
2,com.cookware.worldcusinerecipes:id/topbutton4,Side Dishes,side dishes,,android.support.v7.widget.AppCompatButton,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
2,com.cookware.worldcusinerecipes:id/image,,Image,,android.support.v7.widget.AppCompatImageView,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
2,com.cookware.worldcusinerecipes:id/fab_expand_menu_button,,Image,,com.getbase.floatingactionbutton.FloatingActionsMenu$1,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
2,,,Web View,,com.google.android.gms.ads.internal.webview.o,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
2,,,Web View,,com.google.android.gms.ads.internal.webview.o,clickable,,,,,,,wrong,com.cookware.worldcusinerecipes/com.cookware.worldcusinerecipes.MainActivity,
