event_index,id,text,semantic_rep,file_name,class,type,content_desc,hint,parent_text,sibling_text,fillable_neighbor,neighbors,label,activity,atm_neighbor
0,com.cu.village:id/iv_header_image,,Image,,android.widget.ImageView,label,,,,,,,wrong,com.cu.village/com.cu.village.MainActivity,
0,com.cu.village:id/iv_discount_btn,,Image,,android.widget.ImageView,label,,,,,,,wrong,com.cu.village/com.cu.village.MainActivity,
0,com.cu.village:id/iv_logo1,,Image,,android.widget.ImageView,clickable,,,,,,,wrong,com.cu.village/com.cu.village.MainActivity,
0,com.cu.village:id/iv_logo2,,Image,,android.widget.ImageView,clickable,,,,,,,wrong,com.cu.village/com.cu.village.MainActivity,
0,com.cu.village:id/iv_logo3,,Image,,android.widget.ImageView,label,,,,,,,wrong,com.cu.village/com.cu.village.MainActivity,
0,com.cu.village:id/iv_logo4,,Image,,android.widget.ImageView,clickable,,,,,,,wrong,com.cu.village/com.cu.village.MainActivity,
0,com.cu.village:id/iv_logo5,,Image,,android.widget.ImageView,clickable,,,,,,,wrong,com.cu.village/com.cu.village.MainActivity,
0,com.cu.village:id/iv_logo6,,Image,,android.widget.ImageView,clickable,,,,,,,wrong,com.cu.village/com.cu.village.MainActivity,
0,com.cu.village:id/iv_logo7,,Image,,android.widget.ImageView,label,,,,,,,wrong,com.cu.village/com.cu.village.MainActivity,
0,com.cu.village:id/iv_logo8,,Image,,android.widget.ImageView,label,,,,,,,wrong,com.cu.village/com.cu.village.MainActivity,
0,com.cu.village:id/iv_find_credit_union,,Image,,android.widget.ImageView,clickable,,,,,,,correct,com.cu.village/com.cu.village.MainActivity,
0,com.cu.village:id/iv_ads,,Image,,android.widget.ImageView,label,,,,,,,wrong,com.cu.village/com.cu.village.MainActivity,
1,com.cu.village:id/sprint_sub_screen_ui_header_image,,Image,,android.widget.ImageView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
1,com.cu.village:id/Buttonhome,,Image,,android.widget.Button,clickable,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
1,com.cu.village:id/TextView01,Find A Credit Union,Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
1,com.cu.village:id/Button02,Use Current Location,locations,,android.widget.Button,clickable,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
1,com.cu.village:id/EditText01,,Input,,android.widget.EditText,clickable,,,,,,,correct,com.cu.village/com.cu.village.FindCreditUnion,
1,com.cu.village:id/Button_union_zip,Search By Zip,Text Button,,android.widget.Button,clickable,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
1,com.cu.village:id/creditunion_ui_buttom_add_image,,Image,,android.widget.ImageView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/Buttonfc,Find A Credit Union,Text Button,,android.widget.Button,clickable,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView02,Result,Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView01,San Francisco Federal Credit Union,Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView02,0.18 miles,Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView03,"770 Golden Gate Avenue, San Francisco, CA, 94102",Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView01,The Golden 1 Credit Union,Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView02,0.22 miles,Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView03,"500 Golden Gate Avenue, San Francisco, CA, 94102",Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView01,Redwood CU,Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView02,0.25 miles,Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView03,"1390 Market Street, San Francisco, CA, 94102",Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView01,Provident Credit Union,Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView02,0.26 miles,Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView03,"450 Golden Gate Avenue 2nd Floor, San Francisco, CA, 94102",Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView01,Bethel A.M.E. San Francisco Federal Credit Union,Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView02,0.33 miles,Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView03,"979 Laguna, San Francisco, CA, 94115",Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView01,Bay Media Federal Credit Union,Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView02,0.78 miles,Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView03,"426 Jessie St., San Francisco, CA, 94103",Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView01,"Community Trust, A Division of Self-Help Federal Credit Union",Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView02,0.79 miles,Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView03,"900 Hyde Street, 2nd Floor, San Francisco, CA, 94109-4806",Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView01,Jones Methodist Church Credit Union,Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView02,0.81 miles,Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView03,"1975 Post Street, San Francisco, CA, 94115",Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView01,S.F. Police CU,Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView02,1.01 miles,Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/TextView03,"802 Bryant St., San Francisco, Ca, 94103",Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
2,com.cu.village:id/creditunion_ui_buttom_add_image,,Image,,android.widget.ImageView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
3,com.cu.village:id/Buttonmapback,Details,info,,android.widget.Button,clickable,,,,,,,correct,com.cu.village/com.cu.village.LocationOnMap,
3,com.cu.village:id/TextView01,Map,Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.LocationOnMap,
3,com.cu.village:id/mapview,,Map View,,com.google.android.maps.MapView,clickable,,,,,,,wrong,com.cu.village/com.cu.village.LocationOnMap,
4,com.cu.village:id/Buttonresults,Results,results,,android.widget.Button,clickable,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
4,com.cu.village:id/TextView03,Details,Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
4,com.cu.village:id/TextView04,"Community Trust, A Division of Self-Help Federal Credit Union",Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
4,com.cu.village:id/TextView05,Distance,Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
4,com.cu.village:id/TextView06,0.79 miles,Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
4,com.cu.village:id/TextView07,Phone,Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
4,com.cu.village:id/TextView08,800-273-6428,Text Button,,android.widget.TextView,clickable,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
4,com.cu.village:id/TextView09,Address,Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
4,com.cu.village:id/TextView10,"900 Hyde Street,",Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
4,com.cu.village:id/TextView11," 2nd Floor, San Francisco, CA, 94109-4806",Text,,android.widget.TextView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
4,com.cu.village:id/Butonmap,View On Map,Text Button,,android.widget.Button,clickable,,,,,,,correct,com.cu.village/com.cu.village.FindCreditUnion,
4,com.cu.village:id/Buttonweblink,View Web Site,Text Button,,android.widget.Button,clickable,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
4,com.cu.village:id/creditunion_ui_buttom_add_image,,Image,,android.widget.ImageView,label,,,,,,,wrong,com.cu.village/com.cu.village.FindCreditUnion,
