event_index,id,text,semantic_rep,file_name,class,type,content_desc,hint,parent_text,sibling_text,fillable_neighbor,neighbors,label,activity,atm_neighbor
0,com.discoverfinancial.mobile:id/discover_title_logo,,Image,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.card.forgot.activity.AlternateLoginActivity,
0,com.discoverfinancial.mobile:id/first_indicator,,expand_more,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.card.forgot.activity.AlternateLoginActivity,
0,com.discoverfinancial.mobile:id/step1_title,Enter Info,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.card.forgot.activity.AlternateLoginActivity,
0,com.discoverfinancial.mobile:id/step2_title,Create Login,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.card.forgot.activity.AlternateLoginActivity,
0,com.discoverfinancial.mobile:id/forgot_User_id_title,Register,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.card.forgot.activity.AlternateLoginActivity,
0,com.discoverfinancial.mobile:id/account_info_label_one_label,Credit Card Account Number,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.card.forgot.activity.AlternateLoginActivity,
0,com.discoverfinancial.mobile:id/account_info_main_input_field,,Input,,com.discover.mobile.card.common.uiwidget.UsernameOrAccountNumberEditText,clickable,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.card.forgot.activity.AlternateLoginActivity,
0,com.discoverfinancial.mobile:id/account_information_input_info_label,This is a 16 digit number starting with 6011.,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.card.forgot.activity.AlternateLoginActivity,
0,com.discoverfinancial.mobile:id/account_info_card_expiration_date_label,Card Expiration Date,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.card.forgot.activity.AlternateLoginActivity,
0,com.discoverfinancial.mobile:id/account_info_card_exp_date_picker,,Input,,com.discover.mobile.card.common.uiwidget.CardExpirationDateEditText,clickable,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.card.forgot.activity.AlternateLoginActivity,
0,com.discoverfinancial.mobile:id/account_info_ssn_info_label,Primary Cardmember's Social Security Number (Last 4 Digits),Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.card.forgot.activity.AlternateLoginActivity,
0,com.discoverfinancial.mobile:id/account_info_ssn_input_field,,Input,,com.discover.mobile.card.common.uiwidget.SsnEditText,clickable,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.card.forgot.activity.AlternateLoginActivity,
0,com.discoverfinancial.mobile:id/account_info_ssn_prefix_label,XXX – XX –,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.card.forgot.activity.AlternateLoginActivity,
0,com.discoverfinancial.mobile:id/account_info_dob_label,Primary Cardmember's Birthday,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.card.forgot.activity.AlternateLoginActivity,
0,com.discoverfinancial.mobile:id/account_info_birth_date_picker,,Input,,com.discover.mobile.card.common.uiwidget.DatePickerEditText,clickable,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.card.forgot.activity.AlternateLoginActivity,
0,com.discoverfinancial.mobile:id/account_info_continue_button,Continue,continue,,android.support.v7.widget.AppCompatButton,clickable,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.card.forgot.activity.AlternateLoginActivity,
0,com.discoverfinancial.mobile:id/account_info_cancel_label,Cancel,back,,android.support.v7.widget.AppCompatTextView,clickable,,,,,,,correct,com.discoverfinancial.mobile/com.discover.mobile.card.forgot.activity.AlternateLoginActivity,
1,,Products,Text,,android.widget.TextView,label,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.common.productpage.ui.ProductPageActivity,
1,,,arrow_backward,,android.widget.ImageButton,clickable,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.common.productpage.ui.ProductPageActivity,
1,com.discoverfinancial.mobile:id/title,Discover Products,Text Button,,android.support.v7.widget.AppCompatTextView,clickable,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.common.productpage.ui.ProductPageActivity,
1,com.discoverfinancial.mobile:id/product_page_indicator,,Text,,com.discover.mobile.common.ui.widgets.FontAwesomeTextView,label,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.common.productpage.ui.ProductPageActivity,
1,com.discoverfinancial.mobile:id/product_page_title,Credit Cards,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.common.productpage.ui.ProductPageActivity,
1,com.discoverfinancial.mobile:id/product_page_indicator,,Text,,com.discover.mobile.common.ui.widgets.FontAwesomeTextView,label,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.common.productpage.ui.ProductPageActivity,
1,com.discoverfinancial.mobile:id/product_page_title,Banking,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.common.productpage.ui.ProductPageActivity,
1,com.discoverfinancial.mobile:id/product_page_indicator,,Text,,com.discover.mobile.common.ui.widgets.FontAwesomeTextView,label,,,,,,,correct,com.discoverfinancial.mobile/com.discover.mobile.common.productpage.ui.ProductPageActivity,
1,com.discoverfinancial.mobile:id/product_page_title,Loans,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.common.productpage.ui.ProductPageActivity,
1,com.discoverfinancial.mobile:id/privacy_terms,Privacy & Terms,Text Button,,android.support.v7.widget.AppCompatTextView,clickable,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.common.productpage.ui.ProductPageActivity,
1,com.discoverfinancial.mobile:id/divider,|,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.common.productpage.ui.ProductPageActivity,
1,com.discoverfinancial.mobile:id/provide_feedback_button,Provide Feedback,Text Button,,android.support.v7.widget.AppCompatTextView,clickable,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.common.productpage.ui.ProductPageActivity,
2,,Products,Text,,android.widget.TextView,label,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.common.productpage.ui.ProductPageActivity,
2,,,arrow_backward,,android.widget.ImageButton,clickable,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.common.productpage.ui.ProductPageActivity,
2,com.discoverfinancial.mobile:id/title,Discover Products,Text Button,,android.support.v7.widget.AppCompatTextView,clickable,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.common.productpage.ui.ProductPageActivity,
2,com.discoverfinancial.mobile:id/product_page_indicator,,Text,,com.discover.mobile.common.ui.widgets.FontAwesomeTextView,label,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.common.productpage.ui.ProductPageActivity,
2,com.discoverfinancial.mobile:id/product_page_title,Credit Cards,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.common.productpage.ui.ProductPageActivity,
2,com.discoverfinancial.mobile:id/product_page_indicator,,Text,,com.discover.mobile.common.ui.widgets.FontAwesomeTextView,label,,,,,,,correct,com.discoverfinancial.mobile/com.discover.mobile.common.productpage.ui.ProductPageActivity,
2,com.discoverfinancial.mobile:id/product_page_title,Banking,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.common.productpage.ui.ProductPageActivity,
2,com.discoverfinancial.mobile:id/product_page_indicator,,Text,,com.discover.mobile.common.ui.widgets.FontAwesomeTextView,label,,,,,,,wrong,com.discoverfinancial.mobile/com.discover.mobile.common.productpage.ui.ProductPageActivity,
