event_index,id,text,semantic_rep,file_name,class,type,content_desc,hint,parent_text,sibling_text,fillable_neighbor,neighbors,label,activity,atm_neighbor
0,com.mcdo.mcdonalds:id/mcImage,,Background Image,,android.widget.ImageView,label,,,,,,,wrong,com.mcdo.mcdonalds/com.gigigo.mcdonaldsbr.modules.intro.IntroActivity,
0,com.mcdo.mcdonalds:id/mcIco,,Image,,android.widget.ImageView,label,,,,,,,wrong,com.mcdo.mcdonalds/com.gigigo.mcdonaldsbr.modules.intro.IntroActivity,
0,com.mcdo.mcdonalds:id/textTutorial,Get discount coupons and find out everything new that we have for you.,Text,,com.gigigo.mcdonaldsbr.ui.textviews.TextViewBqMedium,label,,,,,,,wrong,com.mcdo.mcdonalds/com.gigigo.mcdonaldsbr.modules.intro.IntroActivity,
0,com.mcdo.mcdonalds:id/indicator,,Pager Indicator,,com.viewpagerindicator.CirclePageIndicator,label,,,,,,,wrong,com.mcdo.mcdonalds/com.gigigo.mcdonaldsbr.modules.intro.IntroActivity,
0,com.mcdo.mcdonalds:id/btn_enter,GET STARTED,go,,com.gigigo.mcdonaldsbr.ui.textviews.TextViewBqMedium,clickable,,,,,,,correct,com.mcdo.mcdonalds/com.gigigo.mcdonaldsbr.modules.intro.IntroActivity,
0,com.mcdo.mcdonalds:id/btn_login,LOGIN,login,,com.gigigo.mcdonaldsbr.ui.textviews.TextViewBqMedium,clickable,,,,,,,wrong,com.mcdo.mcdonalds/com.gigigo.mcdonaldsbr.modules.intro.IntroActivity,
1,,Select country,Text,,android.widget.TextView,label,,,,,,,wrong,com.mcdo.mcdonalds/com.gigigo.mcdonaldsbr.modules.listcountries.CountriesActivity,
1,,,Image,,android.widget.ImageView,label,,,,,,,wrong,com.mcdo.mcdonalds/com.gigigo.mcdonaldsbr.modules.listcountries.CountriesActivity,
1,,,arrow_backward,,android.widget.ImageButton,clickable,,,,,,,wrong,com.mcdo.mcdonalds/com.gigigo.mcdonaldsbr.modules.listcountries.CountriesActivity,
1,com.mcdo.mcdonalds:id/imageCategory,,photo,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.mcdo.mcdonalds/com.gigigo.mcdonaldsbr.modules.listcountries.CountriesActivity,
