event_index,id,text,semantic_rep,file_name,class,type,content_desc,hint,parent_text,sibling_text,fillable_neighbor,neighbors,label,activity,atm_neighbor
0,com.pushpay.android.pp:id/preferred_merchant_lets_get_started_imageView,,Image,,android.support.v7.widget.AppCompatImageView,clickable,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.HomeActivity,
0,com.pushpay.android.pp:id/preferred_merchant_heading_textView,Let's get started,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.HomeActivity,
0,com.pushpay.android.pp:id/preferred_merchant_subheading_textView,"Find your church, non-profit or business",Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.HomeActivity,
0,,Home,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.HomeActivity,
0,,,Image,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.HomeActivity,
0,,,menu,,android.support.v7.widget.AppCompatImageButton,clickable,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.HomeActivity,
1,,Golden City Church,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.merchant.MerchantFragmentActivity,
1,,,arrow_backward,,android.support.v7.widget.AppCompatImageButton,clickable,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.merchant.MerchantFragmentActivity,
1,com.pushpay.android.pp:id/merchant_summary_text_view,"754 14th Street, San Francisco CA 94114, USA",Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.merchant.MerchantFragmentActivity,
1,com.pushpay.android.pp:id/merchant_logo,,Image,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.merchant.MerchantFragmentActivity,
1,com.pushpay.android.pp:id/extra_info_body_textView,"Before you can give to Golden City Church, you need to activate this device with Pushpay. Once you're done, you will be ready to make a gift.",Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.merchant.MerchantFragmentActivity,
1,com.pushpay.android.pp:id/primary_action_button,Activate,activate,,nz.co.jsalibrary.android.widget.JSAFontButton,clickable,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.merchant.MerchantFragmentActivity,
2,,Activate,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
2,,,arrow_backward,,android.support.v7.widget.AppCompatImageButton,clickable,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
2,,,Image,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
3,com.pushpay.android.pp:id/welcome_textview,Welcome,Text,,nz.co.jsalibrary.android.widget.JSAFontTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
3,com.pushpay.android.pp:id/title_textview,Simply enter your mobile number to activate Pushpay on this device,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
3,com.pushpay.android.pp:id/country_flag_imageview,,Image,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
3,com.pushpay.android.pp:id/mobile_number_edittext,,Input,,com.pushpay.android.pp.ui.views.AccessibleEditText,clickable,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
3,,Enter your mobile number,Text,,android.widget.TextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
3,com.pushpay.android.pp:id/terms_privacy_message,"By signing up to Pushpay, you agree to our Terms of Use and Privacy Policy",Text Button,,android.support.v7.widget.AppCompatTextView,clickable,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
3,com.pushpay.android.pp:id/next_btn,Next,next,,nz.co.jsalibrary.android.widget.JSAFontButton,clickable,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
3,,Activate,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
3,,,arrow_backward,,android.support.v7.widget.AppCompatImageButton,clickable,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
3,,,Image,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
4,com.pushpay.android.pp:id/country_flag_row_imageView,,national_flag,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
4,com.pushpay.android.pp:id/country_textView,Canada,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
4,com.pushpay.android.pp:id/country_selected_imageView,,check,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
4,com.pushpay.android.pp:id/country_flag_row_imageView,,Image,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
4,com.pushpay.android.pp:id/country_textView,Australia,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
4,com.pushpay.android.pp:id/country_flag_row_imageView,,pause,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
4,com.pushpay.android.pp:id/country_textView,Belgium,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
4,com.pushpay.android.pp:id/country_flag_row_imageView,,Image,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
4,com.pushpay.android.pp:id/country_textView,Denmark,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
4,com.pushpay.android.pp:id/country_flag_row_imageView,,add,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
4,com.pushpay.android.pp:id/country_textView,Finland,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
4,com.pushpay.android.pp:id/country_flag_row_imageView,,Image,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
4,com.pushpay.android.pp:id/country_textView,Germany,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
4,com.pushpay.android.pp:id/country_flag_row_imageView,,Image,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
4,com.pushpay.android.pp:id/country_textView,Iceland,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,correct,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
4,com.pushpay.android.pp:id/country_flag_row_imageView,,Image,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
4,com.pushpay.android.pp:id/country_textView,Latvia,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
4,com.pushpay.android.pp:id/country_flag_row_imageView,,Image,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
4,com.pushpay.android.pp:id/country_textView,Mexico,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
4,com.pushpay.android.pp:id/country_textView,New Zealand,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
4,,Select your country,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
4,,,arrow_backward,,android.support.v7.widget.AppCompatImageButton,clickable,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
4,,,Image,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
4,com.pushpay.android.pp:id/search_item,,search,,android.support.v7.view.menu.ActionMenuItemView,clickable,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
5,com.pushpay.android.pp:id/country_textView,Germany,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
5,com.pushpay.android.pp:id/country_flag_row_imageView,,Image,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
5,com.pushpay.android.pp:id/country_textView,Iceland,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
5,com.pushpay.android.pp:id/country_flag_row_imageView,,Image,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
5,com.pushpay.android.pp:id/country_textView,Latvia,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
5,com.pushpay.android.pp:id/country_flag_row_imageView,,pause,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
5,com.pushpay.android.pp:id/country_textView,Mexico,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
5,com.pushpay.android.pp:id/country_flag_row_imageView,,Image,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
5,com.pushpay.android.pp:id/country_textView,New Zealand,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
5,com.pushpay.android.pp:id/country_flag_row_imageView,,list,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
5,com.pushpay.android.pp:id/country_textView,Norway,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
5,com.pushpay.android.pp:id/country_flag_row_imageView,,Image,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
5,com.pushpay.android.pp:id/country_textView,Sweden,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
5,com.pushpay.android.pp:id/country_flag_row_imageView,,Image,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
5,com.pushpay.android.pp:id/country_textView,Switzerland,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
5,com.pushpay.android.pp:id/country_flag_row_imageView,,Image,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
5,com.pushpay.android.pp:id/country_textView,United Kingdom,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.pushpay.android.pp/com.pushpay.android.pp.ui.PPActivateFragmentActivity,
