event_index,id,text,semantic_rep,file_name,class,type,content_desc,hint,parent_text,sibling_text,fillable_neighbor,neighbors,label,activity,atm_neighbor
0,com.yahoo.mobile.client.android.finance:id/main_image,,Image,,android.support.v7.widget.AppCompatImageView,label,,,,,,,wrong,com.yahoo.mobile.client.android.finance/com.yahoo.mobile.client.android.finance.activity.Main,
0,com.yahoo.mobile.client.android.finance:id/title,Already have a Yahoo account?,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.yahoo.mobile.client.android.finance/com.yahoo.mobile.client.android.finance.activity.Main,
0,com.yahoo.mobile.client.android.finance:id/content,"• Sync your account across devices
• Create multiple watchlists
• Add and edit shares",Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.yahoo.mobile.client.android.finance/com.yahoo.mobile.client.android.finance.activity.Main,
0,com.yahoo.mobile.client.android.finance:id/button_sign_in_or_sign_up,Sign in or create account,Text Button,,android.support.v7.widget.AppCompatButton,clickable,,,,,,,correct,com.yahoo.mobile.client.android.finance/com.yahoo.mobile.client.android.finance.activity.Main,
0,com.yahoo.mobile.client.android.finance:id/button_done,Not now,not now,,android.support.v7.widget.AppCompatTextView,clickable,,,,,,,wrong,com.yahoo.mobile.client.android.finance/com.yahoo.mobile.client.android.finance.activity.Main,
1,com.yahoo.mobile.client.android.finance:id/webview,,Web View,,android.webkit.WebView,clickable,,,,,,,wrong,com.yahoo.mobile.client.android.finance/com.yahoo.mobile.client.share.activity.SignInWebActivity,
2,,,arrow_backward,,android.widget.ImageButton,clickable,,,,,,,wrong,com.yahoo.mobile.client.android.finance/com.yahoo.mobile.client.android.finance.activity.Main,
2,,,Image,,android.widget.ImageView,label,,,,,,,wrong,com.yahoo.mobile.client.android.finance/com.yahoo.mobile.client.android.finance.activity.Main,
2,com.yahoo.mobile.client.android.finance:id/action_search,,Image,,android.support.v7.view.menu.ActionMenuItemView,clickable,,,,,,,wrong,com.yahoo.mobile.client.android.finance/com.yahoo.mobile.client.android.finance.activity.Main,
2,,Watchlists,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.yahoo.mobile.client.android.finance/com.yahoo.mobile.client.android.finance.activity.Main,
2,,Markets,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.yahoo.mobile.client.android.finance/com.yahoo.mobile.client.android.finance.activity.Main,
3,,,menu,,android.widget.ImageButton,clickable,,,,,,,wrong,com.yahoo.mobile.client.android.finance/com.yahoo.mobile.client.android.finance.activity.Main,
3,,,Image,,android.widget.ImageView,label,,,,,,,wrong,com.yahoo.mobile.client.android.finance/com.yahoo.mobile.client.android.finance.activity.Main,
3,com.yahoo.mobile.client.android.finance:id/action_search,,search,,android.support.v7.view.menu.ActionMenuItemView,clickable,,,,,,,wrong,com.yahoo.mobile.client.android.finance/com.yahoo.mobile.client.android.finance.activity.Main,
3,,Watchlists,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.yahoo.mobile.client.android.finance/com.yahoo.mobile.client.android.finance.activity.Main,
3,,Markets,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.yahoo.mobile.client.android.finance/com.yahoo.mobile.client.android.finance.activity.Main,
3,android:id/text1,My Watchlist,Text,,android.support.v7.widget.AppCompatTextView,label,,,,,,,wrong,com.yahoo.mobile.client.android.finance/com.yahoo.mobile.client.android.finance.activity.Main,
