algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
craftdroid,union,android,wm,137.0,193.0,204.0,208.0,212.0,0.7859065770830478,157.57051849365234,164.0
craftdroid,intersection,android,wm,146.0,197.0,208.0,211.0,214.0,0.8194661086285125,11.90923261642456,148.0
craftdroid,craftdroid,android,wm,134.0,193.0,203.0,206.0,212.0,0.7814373534961769,21.7826509475708,164.0
craftdroid,atm,android,wm,150.0,203.0,210.0,213.0,214.0,0.8309381333358314,12.32657265663147,148.0
custom,union,android,wm,167.0,195.0,205.0,207.0,208.0,0.8476356162204948,18.62836790084839,0.0
custom,intersection,android,wm,160.0,204.0,208.0,210.0,213.0,0.8516964433254024,18.318478107452393,108.0
custom,craftdroid,android,wm,161.0,197.0,204.0,208.0,212.0,0.8453980814816474,18.538970708847046,0.0
custom,atm,android,wm,172.0,203.0,209.0,210.0,212.0,0.8685600033450716,19.565036058425903,108.0
atm_0,union,android,wm,123.0,180.0,203.0,206.0,212.0,0.7562749256247718,45.663145780563354,3263.0
atm_0,intersection,android,wm,148.0,196.0,205.0,208.0,213.0,0.8257957294212023,23.41090488433838,8477.0
atm_0,craftdroid,android,wm,129.0,178.0,201.0,206.0,211.0,0.7632472017146946,39.698718786239624,3263.0
atm_0,atm,android,wm,155.0,196.0,204.0,207.0,211.0,0.8327205364394284,32.425567388534546,8477.0
craftdroid,union,blogs,wm,133.0,191.0,200.0,205.0,210.0,0.7717230481936366,46.2702739238739,75.0
craftdroid,intersection,blogs,wm,147.0,192.0,203.0,207.0,214.0,0.8138158912480183,11.878767013549805,71.0
craftdroid,craftdroid,blogs,wm,131.0,188.0,199.0,202.0,210.0,0.7675340998870412,22.14120364189148,75.0
craftdroid,atm,blogs,wm,151.0,197.0,205.0,210.0,214.0,0.8243685738595244,19.47664976119995,71.0
custom,union,blogs,wm,160.0,195.0,203.0,209.0,209.0,0.8309749905874947,19.23606514930725,0.0
custom,intersection,blogs,wm,152.0,193.0,206.0,209.0,214.0,0.8234144940027296,17.40097165107727,102.0
custom,craftdroid,blogs,wm,152.0,195.0,204.0,209.0,210.0,0.8235894949695852,18.952473163604736,0.0
custom,atm,blogs,wm,168.0,202.0,206.0,212.0,214.0,0.8584282233603502,17.93795609474182,102.0
atm_0,union,blogs,wm,128.0,180.0,201.0,205.0,209.0,0.7643692597333045,46.41047120094299,3191.0
atm_0,intersection,blogs,wm,147.0,191.0,205.0,207.0,214.0,0.8184283042095303,23.130162000656128,8363.0
atm_0,craftdroid,blogs,wm,134.0,180.0,202.0,205.0,208.0,0.7731820156048838,39.73558712005615,3191.0
atm_0,atm,blogs,wm,157.0,191.0,204.0,209.0,212.0,0.8326498623530525,33.76767635345459,8363.0
craftdroid,union,standard,wm,136.0,187.0,196.0,202.0,210.0,0.7733369254318554,68.38237714767456,85.0
craftdroid,intersection,standard,wm,152.0,189.0,200.0,206.0,213.0,0.8206769223737553,11.771738529205322,81.0
craftdroid,craftdroid,standard,wm,135.0,185.0,197.0,202.0,210.0,0.772983669499015,20.779644012451172,85.0
craftdroid,atm,standard,wm,154.0,192.0,200.0,206.0,213.0,0.8242719698602052,11.518912076950073,81.0
custom,union,standard,wm,164.0,194.0,200.0,204.0,208.0,0.8372954906470639,18.6304829120636,0.0
custom,intersection,standard,wm,159.0,191.0,205.0,209.0,214.0,0.8368263588614634,17.060128927230835,113.0
custom,craftdroid,standard,wm,160.0,195.0,204.0,206.0,213.0,0.8404064345240816,18.933902502059937,0.0
custom,atm,standard,wm,165.0,198.0,203.0,207.0,213.0,0.8463078075186691,17.039490938186646,113.0
atm_0,union,standard,wm,121.0,174.0,201.0,206.0,210.0,0.7451209926323058,47.34163784980774,3215.0
atm_0,intersection,standard,wm,147.0,187.0,201.0,205.0,210.0,0.8108702573963125,22.213589191436768,8363.0
atm_0,craftdroid,standard,wm,132.0,178.0,200.0,205.0,210.0,0.7682269716206374,38.72319197654724,3215.0
atm_0,atm,standard,wm,151.0,192.0,198.0,204.0,210.0,0.8145600411189204,31.58790421485901,8363.0
craftdroid,union,googleplay,wm,142.0,195.0,205.0,209.0,212.0,0.8004955828485241,41.22894334793091,53.0
