algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
craftdroid,union,android,wm,12.0,20.0,30.0,37.0,38.0,0.4211868459505011,64.48964142799377,53.0
craftdroid,intersection,android,wm,12.0,23.0,30.0,38.0,39.0,0.43543478730690705,3.537781000137329,47.0
craftdroid,craftdroid,android,wm,11.0,19.0,31.0,37.0,38.0,0.4137975440759051,6.768149375915527,49.0
craftdroid,atm,android,wm,13.0,24.0,30.0,39.0,40.0,0.44681388440028985,3.3830599784851074,51.0
custom,union,android,wm,15.0,27.0,41.0,46.0,48.0,0.5064326298701297,6.017492055892944,0.0
custom,intersection,android,wm,17.0,27.0,34.0,41.0,44.0,0.5114270219650858,4.722679615020752,12.0
custom,craftdroid,android,wm,16.0,29.0,41.0,46.0,47.0,0.5286635487528345,5.322214841842651,0.0
custom,atm,android,wm,20.0,34.0,42.0,43.0,45.0,0.5739225125855764,5.521286249160767,12.0
atm_0,union,android,wm,15.0,33.0,40.0,49.0,51.0,0.5733283085961658,13.903624296188354,1018.0
atm_0,intersection,android,wm,17.0,28.0,36.0,40.0,44.0,0.512658281465778,6.500483989715576,2918.0
atm_0,craftdroid,android,wm,15.0,33.0,40.0,49.0,51.0,0.5733283085961658,11.771706104278564,1018.0
atm_0,atm,android,wm,16.0,34.0,40.0,44.0,46.0,0.5310134953462021,9.35605788230896,2918.0
craftdroid,union,blogs,wm,11.0,19.0,30.0,38.0,38.0,0.40690511114355626,30.856114864349365,4.0
craftdroid,intersection,blogs,wm,12.0,21.0,27.0,33.0,36.0,0.4114977055126824,4.291409969329834,0.0
craftdroid,craftdroid,blogs,wm,11.0,19.0,31.0,38.0,38.0,0.41320628545943644,6.545353174209595,0.0
craftdroid,atm,blogs,wm,13.0,22.0,27.0,33.0,36.0,0.41923580075077765,4.576138496398926,4.0
custom,union,blogs,wm,20.0,33.0,41.0,43.0,44.0,0.555887413547188,5.2506489753723145,0.0
custom,intersection,blogs,wm,16.0,27.0,36.0,43.0,45.0,0.5125577925624917,8.388445138931274,0.0
custom,craftdroid,blogs,wm,18.0,31.0,43.0,45.0,47.0,0.5585819934034217,5.28367018699646,0.0
custom,atm,blogs,wm,18.0,32.0,40.0,43.0,43.0,0.5385066948506797,5.9919822216033936,0.0
atm_0,union,blogs,wm,18.0,33.0,43.0,49.0,52.0,0.5930555555555556,15.735865831375122,946.0
atm_0,intersection,blogs,wm,17.0,27.0,37.0,41.0,42.0,0.5116421959584553,8.22568678855896,2818.0
atm_0,craftdroid,blogs,wm,19.0,33.0,43.0,49.0,52.0,0.6019841269841268,12.324282169342041,946.0
atm_0,atm,blogs,wm,22.0,34.0,40.0,44.0,44.0,0.5796807820069098,9.690670490264893,2818.0
craftdroid,union,standard,wm,8.0,20.0,29.0,39.0,41.0,0.3891396127215453,54.480961084365845,4.0
craftdroid,intersection,standard,wm,13.0,23.0,30.0,38.0,40.0,0.4503714118769903,3.3655447959899902,0.0
craftdroid,craftdroid,standard,wm,8.0,20.0,31.0,40.0,42.0,0.4002365514970555,6.924874305725098,0.0
craftdroid,atm,standard,wm,13.0,22.0,29.0,37.0,39.0,0.4366809356865141,3.375761032104492,4.0
custom,union,standard,wm,17.0,32.0,41.0,47.0,48.0,0.5366284013605441,6.016814947128296,0.0
custom,intersection,standard,wm,17.0,30.0,38.0,44.0,47.0,0.5417138067348151,4.74028468132019,0.0
custom,craftdroid,standard,wm,16.0,32.0,41.0,47.0,48.0,0.5443098072562357,4.943706512451172,0.0
custom,atm,standard,wm,20.0,32.0,40.0,46.0,47.0,0.5638747806815033,5.64748477935791,0.0
atm_0,union,standard,wm,10.0,28.0,41.0,51.0,54.0,0.5069940476190476,13.957676649093628,946.0
atm_0,intersection,standard,wm,17.0,28.0,36.0,45.0,45.0,0.5247929101710613,6.211092233657837,2818.0
atm_0,craftdroid,standard,wm,12.0,29.0,41.0,51.0,54.0,0.5278273809523809,17.77620530128479,946.0
atm_0,atm,standard,wm,20.0,32.0,38.0,46.0,46.0,0.5535095704948645,9.424844980239868,2818.0
craftdroid,union,googleplay,wm,12.0,19.0,29.0,37.0,42.0,0.426953155971013,28.34875178337097,2.0
craftdroid,intersection,googleplay,wm,17.0,26.0,33.0,41.0,43.0,0.510793605076439,4.378817081451416,0.0
craftdroid,craftdroid,googleplay,wm,11.0,19.0,31.0,38.0,43.0,0.4285900607329177,5.913888454437256,0.0
craftdroid,atm,googleplay,wm,18.0,27.0,34.0,41.0,43.0,0.5193820404505887,3.362741231918335,2.0
custom,union,googleplay,wm,19.0,30.0,41.0,44.0,45.0,0.5402359049680477,6.127125263214111,0.0
custom,intersection,googleplay,wm,19.0,31.0,40.0,44.0,45.0,0.5637632026494808,4.717077732086182,0.0
custom,craftdroid,googleplay,wm,18.0,31.0,42.0,47.0,48.0,0.5614741730025342,5.953994274139404,0.0
custom,atm,googleplay,wm,21.0,32.0,42.0,46.0,46.0,0.5732593116991611,4.724257707595825,0.0
atm_0,union,googleplay,wm,19.0,35.0,45.0,51.0,54.0,0.6133361678004535,13.985764026641846,946.0
atm_0,intersection,googleplay,wm,17.0,29.0,38.0,44.0,45.0,0.5304510800046514,7.377638101577759,2818.0
atm_0,craftdroid,googleplay,wm,19.0,35.0,45.0,51.0,54.0,0.6133361678004535,13.221436977386475,946.0
atm_0,atm,googleplay,wm,18.0,32.0,41.0,47.0,48.0,0.5438123714909427,8.466928958892822,2818.0
craftdroid,union,android,w2v,6.0,21.0,29.0,38.0,39.0,0.3776583929026155,5.497186183929443,601.0
craftdroid,intersection,android,w2v,10.0,26.0,31.0,41.0,43.0,0.4385884732404026,1.8105084896087646,587.0
craftdroid,craftdroid,android,w2v,6.0,21.0,29.0,39.0,40.0,0.3834407058277855,2.623800039291382,589.0
craftdroid,atm,android,w2v,11.0,27.0,32.0,41.0,42.0,0.44737532131296504,1.8498566150665283,599.0
custom,union,android,w2v,16.0,36.0,43.0,45.0,48.0,0.5417679360113569,5.240900278091431,2748.0
custom,intersection,android,w2v,14.0,25.0,35.0,43.0,44.0,0.47679115237038566,3.2937991619110107,1184.0
custom,craftdroid,android,w2v,14.0,34.0,41.0,44.0,46.0,0.5179021127681841,4.133915901184082,2432.0
custom,atm,android,w2v,20.0,31.0,42.0,47.0,48.0,0.5676792766548404,3.759237289428711,1409.0
atm_0,union,android,w2v,14.0,25.0,30.0,38.0,42.0,0.47340740177274243,7.431766748428345,2571.0
atm_0,intersection,android,w2v,11.0,23.0,30.0,37.0,40.0,0.4259034946757289,2.255770206451416,1188.0
atm_0,craftdroid,android,w2v,14.0,26.0,31.0,39.0,42.0,0.48064882106773316,6.060122013092041,2444.0
