algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
craftdroid,union,android,wm,1.0,1.0,2.0,2.0,2.0,0.049999999999999996,133.58889985084534,27.0
craftdroid,intersection,android,wm,0.0,1.0,2.0,2.0,2.0,0.03214285714285715,7.1066734790802,27.0
craftdroid,craftdroid,android,wm,1.0,1.0,2.0,2.0,2.0,0.049999999999999996,12.272474765777588,27.0
craftdroid,atm,android,wm,0.0,1.0,2.0,2.0,2.0,0.03214285714285715,6.218173980712891,27.0
custom,union,android,wm,4.0,6.0,6.0,7.0,10.0,0.2403139674989268,11.317214965820312,0.0
custom,intersection,android,wm,3.0,3.0,3.0,5.0,8.0,0.1726081272335947,10.391777992248535,336.0
custom,craftdroid,android,wm,4.0,6.0,6.0,7.0,10.0,0.2403139674989268,11.731305360794067,0.0
custom,atm,android,wm,3.0,3.0,3.0,5.0,8.0,0.1726081272335947,10.125966548919678,336.0
atm_0,union,android,wm,0.0,3.0,3.0,6.0,7.0,0.13649711293969316,29.405896186828613,1919.0
atm_0,intersection,android,wm,3.0,4.0,5.0,5.0,6.0,0.17965363357479092,12.215694189071655,6531.0
atm_0,craftdroid,android,wm,0.0,3.0,3.0,6.0,7.0,0.13649711293969316,25.387312650680542,1919.0
atm_0,atm,android,wm,3.0,4.0,5.0,5.0,6.0,0.17965363357479092,17.120555639266968,6531.0
craftdroid,union,blogs,wm,1.0,1.0,2.0,2.0,2.0,0.049999999999999996,40.17417788505554,3.0
craftdroid,intersection,blogs,wm,0.0,1.0,2.0,2.0,2.0,0.03214285714285715,8.245117902755737,3.0
craftdroid,craftdroid,blogs,wm,1.0,1.0,2.0,2.0,2.0,0.049999999999999996,12.885292530059814,3.0
craftdroid,atm,blogs,wm,0.0,1.0,2.0,2.0,2.0,0.03214285714285715,6.480080604553223,3.0
custom,union,blogs,wm,3.0,4.0,4.0,6.0,6.0,0.18882008918419863,10.754220247268677,0.0
custom,intersection,blogs,wm,2.0,3.0,4.0,7.0,8.0,0.1606935229125732,9.927117586135864,336.0
