algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
craftdroid,union,android,wm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,153.17936277389526,113.0
craftdroid,intersection,android,wm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,11.03185749053955,113.0
craftdroid,craftdroid,android,wm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,17.188700199127197,113.0
craftdroid,atm,android,wm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,11.677622556686401,113.0
custom,union,android,wm,4.0,6.0,6.0,6.0,8.0,0.22632898599745202,13.1369948387146,0.0
custom,intersection,android,wm,4.0,4.0,4.0,6.0,8.0,0.20562144998938098,12.338128805160522,26.0
custom,craftdroid,android,wm,4.0,6.0,6.0,6.0,8.0,0.22632898599745202,12.883679866790771,0.0
custom,atm,android,wm,4.0,4.0,4.0,6.0,8.0,0.20562144998938098,11.921091079711914,26.0
atm_0,union,android,wm,2.0,5.0,5.0,6.0,8.0,0.1993270971048912,35.47445845603943,2316.0
atm_0,intersection,android,wm,5.0,5.0,8.0,9.0,10.0,0.25801118102711984,19.590099573135376,3335.0
atm_0,craftdroid,android,wm,2.0,5.0,5.0,6.0,8.0,0.1993270971048912,29.94747829437256,2316.0
atm_0,atm,android,wm,5.0,5.0,8.0,9.0,10.0,0.25801118102711984,27.754569053649902,3335.0
craftdroid,union,blogs,wm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,43.24262976646423,16.0
craftdroid,intersection,blogs,wm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,11.809034824371338,16.0
craftdroid,craftdroid,blogs,wm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,17.008888959884644,16.0
craftdroid,atm,blogs,wm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,11.584099054336548,16.0
custom,union,blogs,wm,4.0,5.0,6.0,7.0,7.0,0.21120251262520992,12.974212408065796,0.0
custom,intersection,blogs,wm,4.0,4.0,7.0,8.0,10.0,0.21918767893257687,12.098473310470581,0.0
custom,craftdroid,blogs,wm,4.0,5.0,6.0,7.0,7.0,0.21120251262520992,13.173994064331055,0.0
custom,atm,blogs,wm,4.0,4.0,7.0,8.0,10.0,0.21918767893257687,11.825048923492432,0.0
atm_0,union,blogs,wm,4.0,5.0,6.0,6.0,7.0,0.2214060870006844,36.114683866500854,2316.0
atm_0,intersection,blogs,wm,6.0,6.0,7.0,7.0,8.0,0.2738968360787352,19.595336198806763,3154.0
atm_0,craftdroid,blogs,wm,4.0,5.0,6.0,6.0,7.0,0.2214060870006844,29.375734567642212,2316.0
atm_0,atm,blogs,wm,6.0,6.0,7.0,7.0,8.0,0.2738968360787352,26.502912521362305,3154.0
craftdroid,union,standard,wm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,62.2078537940979,40.0
