algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
craftdroid,union,android,wm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,85.25041842460632,27.0
craftdroid,intersection,android,wm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,5.8397886753082275,27.0
craftdroid,craftdroid,android,wm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,9.284049987792969,27.0
craftdroid,atm,android,wm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,5.740280389785767,27.0
custom,union,android,wm,5.0,7.0,11.0,11.0,13.0,0.29573201075301914,8.767738342285156,0.0
custom,intersection,android,wm,3.0,3.0,4.0,6.0,8.0,0.18621708948765456,7.0994956493377686,259.0
custom,craftdroid,android,wm,5.0,7.0,11.0,11.0,13.0,0.29573201075301914,8.707175016403198,0.0
custom,atm,android,wm,3.0,3.0,4.0,6.0,8.0,0.18621708948765456,7.774153709411621,259.0
atm_0,union,android,wm,1.0,6.0,7.0,7.0,8.0,0.20943959106109533,21.62431502342224,1723.0
atm_0,intersection,android,wm,4.0,4.0,6.0,6.0,6.0,0.20469294620935904,9.870055437088013,5054.0
atm_0,craftdroid,android,wm,1.0,6.0,7.0,7.0,8.0,0.20943959106109533,19.62087845802307,1723.0
atm_0,atm,android,wm,4.0,4.0,6.0,6.0,6.0,0.20469294620935904,13.38971996307373,5054.0
craftdroid,union,blogs,wm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,32.659424781799316,3.0
craftdroid,intersection,blogs,wm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,5.115583896636963,3.0
craftdroid,craftdroid,blogs,wm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,10.680447340011597,3.0
craftdroid,atm,blogs,wm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,8.94317889213562,3.0
custom,union,blogs,wm,3.0,5.0,9.0,9.0,11.0,0.22786194181973865,8.283116102218628,0.0
custom,intersection,blogs,wm,2.0,3.0,7.0,9.0,9.0,0.18068696793617792,7.961040019989014,259.0
custom,craftdroid,blogs,wm,3.0,5.0,9.0,9.0,11.0,0.22786194181973865,8.939126968383789,0.0
custom,atm,blogs,wm,2.0,3.0,7.0,9.0,9.0,0.18068696793617792,7.18364691734314,259.0
atm_0,union,blogs,wm,3.0,6.0,7.0,7.0,8.0,0.2302855525166152,25.583098649978638,1723.0
atm_0,intersection,blogs,wm,5.0,5.0,7.0,7.0,8.0,0.23887421240786447,10.269253969192505,4974.0
atm_0,craftdroid,blogs,wm,3.0,6.0,7.0,7.0,8.0,0.2302855525166152,19.783029079437256,1723.0
atm_0,atm,blogs,wm,5.0,5.0,7.0,7.0,8.0,0.23887421240786447,14.079108953475952,4974.0
craftdroid,union,standard,wm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,55.85683512687683,15.0
craftdroid,intersection,standard,wm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,5.101345777511597,15.0
craftdroid,craftdroid,standard,wm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,9.806511878967285,15.0
craftdroid,atm,standard,wm,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,5.335594654083252,15.0
custom,union,standard,wm,4.0,7.0,12.0,12.0,13.0,0.2804383469688816,8.571148872375488,0.0
custom,intersection,standard,wm,3.0,4.0,7.0,9.0,10.0,0.20994430924214816,7.814153671264648,259.0
custom,craftdroid,standard,wm,4.0,7.0,12.0,12.0,13.0,0.2804383469688816,8.903297424316406,0.0
custom,atm,standard,wm,3.0,4.0,7.0,9.0,10.0,0.20994430924214816,7.094607830047607,259.0
atm_0,union,standard,wm,1.0,5.0,6.0,7.0,7.0,0.19348651212886264,22.604848384857178,1723.0
atm_0,intersection,standard,wm,5.0,6.0,8.0,8.0,8.0,0.24707321957048864,9.983794450759888,5014.0
